DISTRICT,Murder,Rape,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,Area
NANDURBAR,2,2,0,0,2,0,6,69,2,57,Peaceful Area
NARAYANPUR,0,1,0,0,0,0,0,0,0,0,Peaceful Area
NARMADA,0,0,1,0,0,1,2,12,0,12,Peaceful Area
NASIK COMMR.,2,6,0,3,1,0,2,39,2,24,Peaceful Area
NAUGACHIA,1,1,0,0,0,1,13,188,0,76,Peaceful Area
NAVI MUMBAI,0,17,2,2,0,0,4,36,0,38,Peaceful Area
NAVSARI,0,1,1,1,1,0,2,8,0,26,Peaceful Area
NAWADAH,3,3,0,0,0,4,78,341,4,0,Peaceful Area
NAWAN SHAHR,0,4,0,0,0,0,2,20,0,7,Peaceful Area
NEEMUCH,9,24,6,0,0,1,16,1,0,254,Peaceful Area
NEW DELHI,0,0,0,0,0,0,0,24,1,0,Peaceful Area
NICOBAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
NILGIRIS,2,4,0,0,0,0,2,32,0,10,Peaceful Area
NORTH,1,0,0,0,0,0,4,21,0,4,Peaceful Area
NORTH EAST,0,0,0,0,0,0,0,0,2,0,Peaceful Area
NORTH GOA,0,1,0,0,0,0,1,9,0,10,Peaceful Area
NORTH WEST,0,0,0,0,0,0,0,2,0,0,Peaceful Area
NORTH-EAST,1,0,0,0,0,0,0,13,1,2,Peaceful Area
NORTH-WEST,0,0,0,0,0,0,0,11,0,0,Peaceful Area
OUTER,0,0,0,0,0,0,0,17,0,0,Peaceful Area
PAKUR,2,3,0,0,0,1,13,20,0,7,Peaceful Area
PALAMU,1,3,0,0,0,2,105,165,0,20,Peaceful Area
PALWAL,4,8,2,0,0,1,14,84,0,42,Peaceful Area
PANCHKULA,1,3,1,0,0,0,0,9,0,3,Peaceful Area
PANCHMAHAL,5,7,4,1,0,3,38,82,6,103,Peaceful Area
PANCHSHIL NAGAR,7,5,5,0,0,0,2,1,0,55,Peaceful Area
PANIPAT,11,29,11,0,4,1,41,32,0,68,Peaceful Area
PAPUM PARE,1,0,0,0,1,0,0,0,0,0,Peaceful Area
PASCHIM MIDNAPUR,0,1,0,0,0,1,1,0,0,3,Peaceful Area
PATHANAMTHITTA,2,33,0,0,0,1,95,87,0,115,Peaceful Area
PATHANKOT,0,0,0,0,0,0,3,0,0,0,Peaceful Area
PATIALA,3,2,0,0,0,0,1,50,0,29,Peaceful Area
PATNA RLY.,0,0,0,0,0,0,1,6,1,0,Peaceful Area
PAURI GARHWAL,1,2,0,0,0,0,25,55,0,2,Peaceful Area
PERAMBALUR,6,8,1,0,0,2,31,321,1,0,Peaceful Area
PEREN,0,0,0,0,0,0,0,0,0,0,Peaceful Area
PHEK,0,0,0,0,0,0,0,0,0,0,Peaceful Area
PITHORAGARH,1,3,1,0,0,0,9,58,0,0,Peaceful Area
PONDICHERRY,1,0,0,0,0,0,4,3,112,4,Peaceful Area
POONCH,0,0,0,0,0,0,0,0,0,0,Peaceful Area
PORBANDAR,1,2,3,0,0,2,24,32,1,44,Peaceful Area
PRABUDDH NAGAR,1,0,2,0,0,0,7,0,0,14,Peaceful Area
PUDUCHERRY,2,0,0,0,0,0,0,7,104,3,Peaceful Area
PUDUKOTTAI,10,8,0,0,0,1,72,631,1,0,Peaceful Area
PULWAMA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
PUNE COMMR.,2,21,1,1,3,0,12,101,2,50,Peaceful Area
PUNE RLY.,0,0,0,0,0,0,0,2,0,2,Peaceful Area
PURAB MIDNAPUR,0,0,0,0,0,0,2,22,0,10,Peaceful Area
PURNEA,3,10,0,0,0,1,185,437,0,110,Peaceful Area
PURULIA,1,1,0,0,0,0,0,1,0,5,Peaceful Area
R.P.O.,0,0,0,0,0,0,0,0,0,0,Peaceful Area
RAIGAD,1,5,0,1,0,0,9,52,3,53,Peaceful Area
RAIGARH,5,34,0,0,0,2,21,58,0,128,Peaceful Area
RAILWAYS,0,1,0,0,0,0,1,1,1,2,Peaceful Area
RAILWAYS JAMMU,0,0,0,0,0,0,0,0,0,0,Peaceful Area
RAILWAYS KASHMIR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
RAILWAYS KATRA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
RAILWAYS KMR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
RAILWAYSKMR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
RAJAHMUNDRY,0,8,0,0,0,0,32,100,0,80,Peaceful Area
RAJKOT COMMR.,8,12,14,1,3,2,49,111,1,98,Peaceful Area
RAJNANDGAON,5,37,0,0,0,1,32,3,0,212,Peaceful Area
RAJOURI,0,0,0,0,0,0,0,0,1,0,Peaceful Area
RAJSAMAND,2,7,0,0,1,1,132,86,0,192,Peaceful Area
RAMABAI NAGAR,11,8,8,0,0,0,7,0,0,229,Peaceful Area
RAMANAGAR,14,8,2,0,1,0,60,254,0,147,Peaceful Area
RAMBAN,1,0,0,0,0,0,0,0,0,0,Peaceful Area
RAMGARH,0,2,0,0,0,0,12,47,0,7,Peaceful Area
RANCHI,5,6,3,3,0,0,24,56,2,75,Peaceful Area
RATNAGIRI,0,6,1,1,0,0,3,63,1,37,Peaceful Area
RAYAGADA,9,18,0,0,0,2,33,66,0,46,Peaceful Area
REASI,2,3,0,0,0,1,2,0,0,4,Peaceful Area
REWARI,4,16,21,0,1,4,30,48,0,56,Peaceful Area
RI-BHOI,0,0,0,0,0,0,0,0,0,0,Peaceful Area
ROHTAK,6,28,14,0,0,0,21,8,0,89,Peaceful Area
ROPAR,0,2,0,0,0,0,1,10,2,7,Peaceful Area
ROURKELA,0,4,0,0,0,0,5,35,0,6,Peaceful Area
RUDRA PRAYAG,0,0,0,0,0,0,3,32,0,1,Peaceful Area
RURAL,0,0,0,0,0,0,0,0,0,0,Peaceful Area
S.T.F.,0,0,0,0,0,0,0,0,0,0,Peaceful Area
SAHEBGANJ,11,4,3,1,0,0,32,42,0,34,Peaceful Area
SAIHA,0,0,0,0,1,0,0,0,0,0,Peaceful Area
SALEM RURAL,4,1,3,0,0,1,24,411,0,34,Peaceful Area
SALEM URBAN,4,3,0,0,0,0,21,40,14,26,Peaceful Area
SAMBA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
SAMBALPUR,4,11,5,1,0,1,74,203,0,97,Peaceful Area
SANGLI,3,28,2,1,1,0,16,110,1,83,Peaceful Area
SANGRUR,0,0,0,0,0,0,7,46,0,26,Peaceful Area
SANT KABIRNAGAR,11,29,22,0,0,1,4,343,0,320,Peaceful Area
SARAIKELA,0,3,0,0,0,0,7,20,1,21,Peaceful Area
SARGUJA,0,41,4,0,0,0,7,33,22,81,Peaceful Area
SAS NGR,0,2,1,0,0,0,3,19,0,3,Peaceful Area
SAWAI MADHOPUR,5,18,5,0,1,6,8,190,0,925,Peaceful Area
SBS NAGAR,0,0,0,0,0,0,4,8,0,0,Peaceful Area
SEALDAH G.R.P.,0,0,0,0,0,0,0,0,0,0,Peaceful Area
SECUNDERABAD RLY.,0,1,0,0,0,1,0,7,0,0,Peaceful Area
SENAPATI,0,0,0,0,0,0,0,0,0,0,Peaceful Area
SEONI,8,52,8,0,0,0,92,157,1,218,Peaceful Area
SERCHHIP,0,0,0,0,0,0,0,0,0,0,Peaceful Area
SHAHDOL,4,31,2,0,1,3,35,0,0,107,Peaceful Area
SHEIKHPURA,5,5,0,0,0,3,25,327,0,83,Peaceful Area
SHEOHAR,2,3,1,0,2,0,37,126,0,15,Peaceful Area
SHEOPUR,10,38,2,0,1,0,140,107,0,393,Peaceful Area
SHIMLA,1,25,0,0,0,0,0,130,12,54,Peaceful Area
SHIMOGA,7,16,4,1,0,2,111,104,1,247,Peaceful Area
SHOPIAN,0,0,0,0,0,0,0,0,0,0,Peaceful Area
SHRAWASTI,9,16,6,0,0,1,12,423,0,141,Peaceful Area
SIANG EAST,0,0,0,0,0,0,0,0,0,0,Peaceful Area
SIANG UPPER,0,0,0,0,0,0,0,0,0,0,Peaceful Area
SIANG WEST,0,0,0,0,0,0,0,0,0,0,Peaceful Area
SIBSAGAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
SIDHI,9,62,21,0,0,6,19,153,0,158,Peaceful Area
SILIGURI G.R.P.,0,0,0,0,0,0,0,0,0,0,Peaceful Area
SILIGURI_PC,0,0,0,0,0,0,0,0,0,0,Peaceful Area
SIMDEGA,0,1,0,0,0,1,2,15,0,4,Peaceful Area
SINDHUDURG,0,1,0,0,0,0,0,59,5,12,Peaceful Area
SINGRAULI,3,15,4,0,0,1,3,0,0,32,Peaceful Area
SIPAHIJALA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
SIRMAUR,1,13,0,1,0,0,1,34,4,25,Peaceful Area
SIRSA,13,21,12,0,1,2,60,39,1,49,Peaceful Area
SITAMARHI,0,2,0,0,0,0,5,494,37,37,Peaceful Area
SIWAN,4,0,0,0,0,4,83,313,5,15,Peaceful Area
SOLAN,0,6,0,0,0,0,0,8,4,26,Peaceful Area
SOLAPUR COMMR.,2,11,0,1,3,0,2,48,4,28,Peaceful Area
SONEPUR,3,12,0,0,1,1,80,195,0,24,Peaceful Area
SONIPAT,14,22,3,0,1,4,60,33,0,62,Peaceful Area
SOPORE,0,0,0,0,0,0,0,0,0,0,Peaceful Area
SOUTH,6,18,9,0,3,0,47,45,2,68,Peaceful Area
SOUTH GOA,0,0,0,0,0,0,0,8,1,3,Peaceful Area
SOUTH WEST,0,0,0,0,0,0,0,4,0,0,Peaceful Area
SOUTH-EAST,0,0,0,0,0,0,0,11,0,0,Peaceful Area
SOUTH-WEST,0,0,0,0,0,0,0,41,0,4,Peaceful Area
SPL CELL,0,0,0,0,0,0,0,0,0,0,Peaceful Area
SRINAGAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
SRP(CUTTACK),0,0,1,0,0,0,7,20,0,7,Peaceful Area
SRP(ROURKELA),0,0,0,0,0,0,5,6,0,2,Peaceful Area
ST.RAVIDASNAGAR,16,3,0,0,1,5,22,245,0,83,Peaceful Area
STF,0,0,0,0,0,0,0,3,0,0,Peaceful Area
SUBANSIRI LOWER,0,0,0,0,0,0,0,0,0,0,Peaceful Area
SUBANSIRI UPPER,0,0,0,0,0,0,0,0,0,0,Peaceful Area
SUKMA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
SUNDARGARH,3,13,1,0,0,0,26,24,0,17,Peaceful Area
SUPAUL,0,1,0,0,0,1,2,233,5,0,Peaceful Area
SURAJPUR,3,20,0,0,0,0,16,3,0,29,Peaceful Area
SURAT COMMR.,3,4,3,0,2,0,18,106,0,15,Peaceful Area
SURAT RURAL,15,6,9,0,5,4,39,16,0,91,Peaceful Area
TAMENGLONG,0,0,0,0,0,0,0,0,0,0,Peaceful Area
TAPI,0,0,0,0,0,0,0,0,0,0,Peaceful Area
TARN TARAN,0,3,0,0,0,0,7,10,0,28,Peaceful Area
TAWANG,0,0,0,0,0,0,0,0,0,0,Peaceful Area
TEHRI GARHWAL,0,0,0,0,0,0,20,59,0,8,Peaceful Area
THANE COMMR.,2,20,3,5,1,1,20,125,4,117,Peaceful Area
THANE RURAL,2,10,4,2,0,0,20,91,6,118,Peaceful Area
THENI,4,4,4,0,5,1,51,308,0,44,Peaceful Area
THIRUNELVELI URBAN,18,3,0,0,0,0,1,120,5,11,Peaceful Area
THIRUVANNAMALAI,6,5,0,1,1,4,61,430,3,73,Peaceful Area
THIRUVARUR,13,4,8,0,0,9,64,244,0,141,Peaceful Area
THOOTHUGUDI,16,8,0,1,0,0,16,319,1,42,Peaceful Area
THOUBAL,0,0,0,0,0,0,0,0,0,0,Peaceful Area
THRISSUR,6,56,0,2,0,1,46,99,0,139,Peaceful Area
THRISSUR COMMR.,0,3,0,0,0,0,3,3,0,17,Peaceful Area
THRISSUR RURAL,0,13,0,0,0,0,11,9,1,36,Peaceful Area
TINSUKIA,0,0,0,0,0,3,0,0,0,2,Peaceful Area
TIRAP,0,0,0,0,0,0,0,0,0,0,Peaceful Area
TIRUPATHI URBAN,2,3,4,0,0,1,31,76,2,94,Peaceful Area
TIRUPPUR,0,0,0,0,0,0,0,139,0,0,Peaceful Area
TRICHY RLY.,0,0,0,0,0,0,2,0,0,0,Peaceful Area
TRICHY RURAL,13,4,0,0,0,0,5,264,0,29,Peaceful Area
TRICHY URBAN,4,2,0,0,0,0,5,61,3,0,Peaceful Area
TRIVANDRUM,0,11,0,0,0,0,18,45,0,44,Peaceful Area
TRIVANDRUM COMMR.,0,14,2,0,0,0,46,29,0,96,Peaceful Area
TUENSANG,0,0,0,0,0,0,0,0,0,0,Peaceful Area
UDAIPUR,3,26,8,0,3,0,83,117,0,390,Peaceful Area
UDALGURI,0,0,0,0,0,0,0,0,0,0,Peaceful Area
UDHAMPUR,0,2,0,0,0,0,5,0,5,7,Peaceful Area
UDHAMSINGH NAGAR,22,19,12,0,0,1,33,53,0,7,Peaceful Area
UDUPI,2,1,0,1,0,0,0,325,0,315,Peaceful Area
UKHRUL,0,0,0,0,0,0,0,0,0,0,Peaceful Area
UMARIYA,5,18,0,0,0,3,43,17,0,63,Peaceful Area
UNA,0,2,0,0,0,0,3,65,0,42,Peaceful Area
UNAKOTI,0,0,0,0,0,0,0,0,0,1,Peaceful Area
UPPER DIBANG VALLEY,0,0,0,0,0,0,0,0,0,0,Peaceful Area
UTTAR DINAJPUR,0,0,0,0,0,0,0,1,0,1,Peaceful Area
UTTAR KANNADA,0,3,0,0,0,0,1,123,0,89,Peaceful Area
UTTARKASHI,0,3,0,0,0,0,2,67,0,6,Peaceful Area
VADODARA COMMR.,4,8,10,0,0,0,34,67,0,71,Peaceful Area
VADODARA RURAL,5,4,9,1,1,2,19,115,0,131,Peaceful Area
VALSAD,2,0,2,1,0,1,2,26,0,36,Peaceful Area
VELLORE,1,4,0,0,0,0,0,253,0,0,Peaceful Area
VIJAYAWADA RLY.,0,1,0,0,0,0,0,4,5,2,Peaceful Area
VILUPPURAM,1,3,0,0,0,0,2,60,0,0,Peaceful Area
VISAKHAPATNAM,5,26,0,0,1,2,47,248,9,144,Peaceful Area
W.RLY,1,0,3,0,2,0,3,2,0,10,Peaceful Area
W.RLY AHMEDABAD,0,0,1,0,0,0,1,1,0,0,Peaceful Area
W.RLY VADODARA,0,0,0,0,0,0,0,1,0,0,Peaceful Area
WARANGAL URBAN,1,4,0,0,0,0,20,106,0,70,Peaceful Area
WARDHA,2,31,4,0,1,2,7,37,5,69,Peaceful Area
WASHIM,2,39,3,3,1,3,32,56,8,221,Peaceful Area
WAYANADU,0,22,0,0,1,1,37,15,0,50,Peaceful Area
WEST,1,2,0,0,0,0,12,24,0,4,Peaceful Area
WOKHA,0,0,0,0,0,0,0,0,0,2,Peaceful Area
YADGIRI,3,0,1,0,0,0,0,135,0,114,Peaceful Area
YAMUNANAGAR,3,18,5,0,0,1,14,22,0,21,Peaceful Area
YAVATMAL,4,31,16,0,2,1,19,51,2,160,Peaceful Area
ZUNHEBOTO,1,0,0,0,0,0,0,0,0,0,Peaceful Area
