DISTRICT,Murder,Rape,Kidnapping Abduction,Dacoity,Robbery,Arson,Hurt,Protection of Civil Rights (PCR) Act,Prevention of atrocities (POA) Act,Other Crimes Against STs,Area
BIJNOR,0,0,0,0,0,0,0,0,0,3,Peaceful Area
BIKANER,0,2,0,0,0,0,0,0,4,38,Peaceful Area
BIRBHUM,2,6,0,0,0,0,2,0,7,13,Peaceful Area
BISHNUPUR,0,1,0,0,0,0,0,0,0,0,Peaceful Area
BIZAPUR,0,3,0,0,0,0,1,0,13,18,Peaceful Area
BKP CP,0,0,0,0,0,0,0,0,2,0,Peaceful Area
BOKARO,0,0,0,0,0,0,0,3,19,12,Peaceful Area
BONGAIGAON,0,0,0,0,0,0,7,0,0,0,Peaceful Area
BORDER,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BORDER DISTRICT,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BOUDH,0,2,0,0,0,1,34,0,41,3,Peaceful Area
BUDGAM,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BULANDSHAHAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BULDHANA,3,14,1,0,1,0,1,0,6,32,Peaceful Area
BURDWAN,0,8,0,0,0,0,0,0,7,17,Peaceful Area
BURHANPUR,0,22,1,0,0,1,11,0,0,39,Peaceful Area
BUXAR,0,0,0,0,0,0,2,0,0,0,Peaceful Area
C.B.KASHMIR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
C.I.D.,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CACHAR,0,0,0,0,0,0,0,0,1,1,Peaceful Area
CAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CAW,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CBCID,0,0,0,0,0,0,0,0,2,0,Peaceful Area
CBPURA,0,0,0,0,0,0,0,0,54,54,Peaceful Area
CENTRAL,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CHAIBASA,0,0,0,0,0,0,0,0,22,13,Peaceful Area
CHAMARAJNAGAR,0,0,0,0,0,0,0,0,5,20,Peaceful Area
CHAMBA,0,0,0,0,0,0,0,0,4,3,Peaceful Area
CHAMOLI,0,0,1,0,0,0,0,0,0,0,Peaceful Area
CHAMPAWAT,0,0,0,0,0,0,0,0,2,1,Peaceful Area
CHAMPHAI,0,1,0,0,0,0,2,0,0,0,Peaceful Area
CHANDEL,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CHANDIGARH,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CHANDOLI,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CHANDRAPUR,2,39,3,0,0,0,5,0,13,110,Peaceful Area
CHANGLANG,2,0,6,0,0,0,14,0,0,18,Peaceful Area
CHENGAI,0,0,0,0,0,0,0,4,0,0,Peaceful Area
CHENNAI,0,0,0,0,0,0,0,0,0,0,Peaceful Area
