state,places of occurrence,Dacoity (Section 395-398 IPC) - Number of cases registered,Dacoity (Section 395-398 IPC) - Value Of Property Stolen (in rupees),"Robbery(Section 392-394, 397, 398 IPC) - Number of cases registered","Robbery(Section 392-394, 397, 398 IPC) - Value Of Property Stolen (in rupees)","Burglary(Section 449-452, 454, 455, 457-460 IPC) - Number of cases registered","Burglary(Section 449-452, 454, 455, 457-460 IPC) - Value Of Property Stolen (in rupees)",Theft (Section 379-382 IPC) - Number of cases registered,Theft (Section 379-382 IPC) - Value Of Property Stolen (in rupees),Area type
SIKKIM,RAILWAYS,0,0,2,3000,0,0,0,0,Peaceful Area
SIKKIM,RESIDENTIAL PREMISES,3,283000,22,640800,607,25759913,501,17159733,Peaceful Area
SIKKIM,RIVER & SEA,0,0,0,0,0,0,0,0,Peaceful Area
SIKKIM,RUNNING TRAINS,0,0,0,0,0,0,0,0,Peaceful Area
TAMIL NADU,BANKS,6,15516340,18,4690782,207,25855579,148,5531584,Peaceful Area
TAMIL NADU,COMMERCIAL ESTABLISHMENTS,80,151079649,753,48084102,6278,305792947,26134,635589084,Peaceful Area
TAMIL NADU,HIGH-WAY,216,198956923,920,79037816,37,999182,4304,184718861,Peaceful Area
TAMIL NADU,OTHER PLACES,505,245346792,6572,367042401,11207,347985089,105059,2186301036,Moderate Area
TAMIL NADU,RAILWAYS,14,5852538,245,6852687,47,432967,2956,82840644,Peaceful Area
TAMIL NADU,RESIDENTIAL PREMISES,414,135296528,2752,189174873,35562,1474771430,46398,1101796407,Peaceful Area
TAMIL NADU,RIVER & SEA,2,24900,12,150830,1,16000,161,2570784,Peaceful Area
TAMIL NADU,RUNNING TRAINS,6,1924200,125,3798624,0,0,1534,63367373,Peaceful Area
TRIPURA,BANKS,14,993109,28,1020281,23,886000,116,8943577,Peaceful Area
TRIPURA,COMMERCIAL ESTABLISHMENTS,5,324800,86,1904964,371,14968672,790,31469681,Peaceful Area
TRIPURA,HIGH-WAY,7,358520,25,272190,0,0,21,126464,Peaceful Area
TRIPURA,OTHER PLACES,47,5575602,255,4981106,443,13999456,1246,79832396,Peaceful Area
TRIPURA,RAILWAYS,1,50000,0,0,37,1198906,62,1324000,Peaceful Area
TRIPURA,RESIDENTIAL PREMISES,152,13148872,383,6319099,1530,43432745,2388,84244877,Peaceful Area
TRIPURA,RIVER & SEA,0,0,0,0,0,0,0,0,Peaceful Area
TRIPURA,RUNNING TRAINS,1,50000,0,0,0,0,2,127300,Peaceful Area
UTTAR PRADESH,BANKS,30,25718583,97,82519907,41,14089616,9,4460757,Peaceful Area
UTTAR PRADESH,COMMERCIAL ESTABLISHMENTS,130,51866693,312,26130349,3974,152855981,10103,364646834,Peaceful Area
UTTAR PRADESH,HIGH-WAY,849,331146342,13737,1376013205,79,1221090,109154,3415585713,Moderate Area
UTTAR PRADESH,OTHER PLACES,1764,150026304,13198,687284655,15558,1269106725,113992,2518515676,Moderate Area
UTTAR PRADESH,RAILWAYS,170,6478219,692,13708934,18,140300,23670,301711591,Peaceful Area
UTTAR PRADESH,RESIDENTIAL PREMISES,1864,210389056,2725,174867919,45917,1647464018,55119,1888338072,Moderate Area
UTTAR PRADESH,RIVER & SEA,2,20110,6,260920,0,0,0,0,Peaceful Area
UTTAR PRADESH,RUNNING TRAINS,148,6293252,537,10266085,0,0,16863,238397581,Peaceful Area
UTTARAKHAND,BANKS,8,4303592,10,3902706,8,756234,14,455600,Peaceful Area
UTTARAKHAND,COMMERCIAL ESTABLISHMENTS,23,12763960,41,2172288,883,30273336,1647,65202706,Peaceful Area
UTTARAKHAND,HIGH-WAY,53,11269500,726,70778517,10,101972,442,15866351,Peaceful Area
UTTARAKHAND,OTHER PLACES,107,25166554,902,48501030,1132,41304307,10947,434322330,Peaceful Area
UTTARAKHAND,RAILWAYS,0,0,7,439215,12,18215,449,4542834,Peaceful Area
UTTARAKHAND,RESIDENTIAL PREMISES,166,17243150,304,16768019,3533,135044496,6536,211582401,Peaceful Area
UTTARAKHAND,RIVER & SEA,0,0,0,0,0,0,0,0,Peaceful Area
UTTARAKHAND,RUNNING TRAINS,0,0,5,329215,0,0,176,2245074,Peaceful Area
WEST BENGAL,BANKS,87,72261476,174,15940558,17,5533495,103,27128015,Peaceful Area
WEST BENGAL,COMMERCIAL ESTABLISHMENTS,286,128639913,569,40412444,425,48401161,19296,3266732636,Moderate Area
WEST BENGAL,HIGH-WAY,274,58009544,921,94634174,7,1264865,1032,88977969,Peaceful Area
WEST BENGAL,OTHER PLACES,1034,228580285,4415,209916261,2048,58546811,95567,5272425971,Moderate Area
WEST BENGAL,RAILWAYS,75,5460663,229,7068106,5,275600,9352,103643242,Peaceful Area
WEST BENGAL,RESIDENTIAL PREMISES,886,153181039,1036,63140648,2998,150174601,65111,4219000113,Moderate Area
WEST BENGAL,RIVER & SEA,0,0,10,300000,0,0,7,129512,Peaceful Area
WEST BENGAL,RUNNING TRAINS,66,4775263,194,5140307,1,200000,6295,72772909,Peaceful Area
