DISTRICT,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,DACOITY,ROBBERY,BURGLARY,THEFT,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Area
K/KUMEY,41,25,17,17,15,6,4,55,58,13,5,73,0,0,2,17,150,507,Peaceful Area
KABIRDHAM,176,134,268,65,51,5,55,879,993,154,64,4922,22,56,256,502,4170,13753,Peaceful Area
KAITHAL,321,222,218,197,137,46,136,1569,2870,264,104,2422,112,0,1601,71,6555,17689,Peaceful Area
KALAHANDI,330,291,436,253,234,71,358,717,979,641,87,2346,81,91,500,600,5495,15018,Peaceful Area
KAMENG EAST,52,9,25,46,29,16,48,149,201,27,1,419,0,0,3,28,369,1481,Peaceful Area
KAMENG WEST,48,21,7,26,15,12,31,105,214,23,3,290,0,0,3,130,320,1297,Peaceful Area
KANDHAMAL,308,157,368,265,235,31,171,644,822,311,476,3871,46,65,483,29,1188,11437,Peaceful Area
KANGRA,290,176,232,346,285,8,26,1549,1504,579,253,2637,9,74,614,71,16824,27141,Peaceful Area
KANKER,487,375,314,102,71,167,123,697,689,94,152,514,19,25,153,678,6523,11795,Peaceful Area
KANNAUJ,625,517,92,558,464,29,144,331,982,485,48,301,256,106,822,1231,6449,14010,Peaceful Area
KANPUR DEHAT,447,350,133,475,380,56,157,313,1133,423,50,2238,289,242,716,1174,4465,14024,Peaceful Area
KANSHIRAM NAGAR,239,241,84,255,197,4,44,117,460,169,39,469,133,10,132,449,1522,4803,Peaceful Area
KAPURTHALA,308,422,190,254,174,27,132,977,1738,1834,32,2251,45,0,410,1168,3312,13459,Peaceful Area
KARAIKAL,26,30,12,18,15,0,6,119,473,56,25,1364,1,25,6,298,2500,5291,Peaceful Area
KARBI ANGLONG,632,209,171,450,234,104,165,287,1497,95,158,639,14,1,183,521,2357,8154,Peaceful Area
KARGIL,7,7,8,22,21,0,0,61,63,20,17,2,0,0,3,44,834,1189,Peaceful Area
KARIMGANJ,423,222,397,586,478,122,80,890,1654,192,231,1247,88,0,1279,420,4920,14965,Peaceful Area
KARUR,282,242,68,278,253,20,192,532,2814,195,72,2953,25,52,209,2768,19129,30376,Peaceful Area
KASARGOD,193,229,480,113,51,66,264,1750,1831,2034,360,9271,6,87,1775,25,15626,41110,Peaceful Area
KATHUA,144,293,164,270,232,6,17,635,664,154,105,223,26,105,90,332,8666,12652,Peaceful Area
KATIHAR RLY.,124,14,17,76,33,82,134,95,2651,123,3,171,6,0,11,17,1472,5176,Peaceful Area
KATNI,462,333,536,109,75,10,220,1802,2345,367,103,12077,202,147,726,1334,11204,33916,Peaceful Area
KAUSHAMBI,670,297,226,383,297,23,218,682,949,417,48,1388,258,95,610,1106,4753,13178,Peaceful Area
KAWARDHA,19,12,35,1,0,1,2,69,43,4,4,167,1,4,15,12,236,685,Peaceful Area
KENDRAPARA,439,317,307,335,308,101,363,926,1243,203,152,739,351,187,463,289,8715,15675,Peaceful Area
KHAGARIA,683,865,172,550,208,114,287,210,1190,193,123,3824,157,0,211,918,7398,19335,Peaceful Area
KHANNA,227,250,111,155,92,20,56,685,1173,821,7,1397,42,0,254,1411,3092,9915,Peaceful Area
KHARAGPUR G.R.P.,44,8,3,15,8,21,40,1,1326,10,0,29,1,3,7,14,203,1816,Peaceful Area
KHASI HILLS EAST,431,181,347,244,98,177,532,1092,2846,648,190,422,13,2,108,291,2150,10108,Peaceful Area
KHASI HILLS WEST,174,81,159,38,12,141,83,123,329,37,21,89,0,0,0,8,614,1980,Peaceful Area
KHOWAI,12,4,10,5,3,0,1,18,33,9,7,131,3,0,36,0,116,423,Peaceful Area
KHUNTI,529,73,50,76,29,36,97,26,242,29,9,120,3,1,15,305,346,2128,Peaceful Area
KINNAUR,36,6,63,31,29,1,2,311,114,17,9,128,1,3,43,299,974,2248,Peaceful Area
KIPHIRE,17,6,2,4,1,3,7,9,42,3,0,1,0,0,0,0,97,195,Peaceful Area
KISHANGANJ,341,159,435,669,575,122,121,483,1477,215,61,1705,88,1,433,291,5092,13459,Peaceful Area
KISHTWAR,35,98,20,109,106,1,2,89,119,38,25,8,0,8,42,10,1081,1750,Peaceful Area
KODAGU,352,345,129,96,55,24,89,1352,1132,261,34,5979,30,12,413,25,7675,19045,Peaceful Area
KODERMA,319,327,114,198,110,211,185,233,1114,456,29,1116,129,4,324,644,3612,10322,Peaceful Area
KOHIMA,224,105,63,66,10,30,135,223,716,130,1,58,0,0,2,25,849,2710,Peaceful Area
KOLAR,691,617,188,295,190,53,258,1453,3503,382,0,6032,157,3,426,36,15445,33454,Peaceful Area
KOLASIB,50,16,80,16,1,16,9,321,819,47,43,132,0,1,2,52,603,2334,Peaceful Area
KOLLAM COMMR.,35,82,97,42,38,7,78,237,439,176,32,2148,5,60,655,1,7994,13431,Peaceful Area
KOLLAM RURAL,59,53,95,27,24,3,54,267,329,235,44,2909,1,28,624,14,6272,12517,Peaceful Area
KONDAGAON,21,8,11,7,0,0,0,20,23,3,2,126,0,3,2,54,250,537,Peaceful Area
KOPPAL,285,220,102,161,92,60,108,931,1124,363,22,2440,38,4,556,0,10773,19152,Peaceful Area
KORAPUT,528,435,544,319,288,150,316,1065,1590,319,129,427,48,195,672,1054,7762,17674,Peaceful Area
KORBA,491,153,433,89,74,30,250,2073,3288,343,110,6154,65,93,459,1629,10865,28108,Peaceful Area
KORIYA,433,234,646,105,96,38,125,2013,1516,192,103,4507,26,36,471,707,6254,18734,Peaceful Area
KOTA CITY,193,828,192,575,477,9,327,932,5974,3266,42,951,51,5,2426,794,10910,28085,Peaceful Area
KOTA RURAL,167,364,234,278,236,6,90,430,1241,961,64,1524,30,8,1370,712,6720,14963,Peaceful Area
KOZHIKODE,55,74,92,17,11,31,42,927,997,685,458,2184,2,20,662,6,8425,17140,Peaceful Area
KOZHIKODE COMMR.,79,123,169,104,57,44,588,2248,3073,1672,133,5419,16,334,1520,9,20137,40216,Peaceful Area
KULGAM,291,120,107,566,521,4,118,530,657,150,127,292,0,109,7,277,2942,7745,Peaceful Area
KULLU,125,46,206,144,127,3,33,649,601,159,59,525,3,10,166,523,6105,10154,Peaceful Area
KUPWARA,368,950,102,440,380,1,12,473,597,130,145,74,0,77,26,73,2825,7955,Peaceful Area
KURUKSHETRA,321,220,343,303,234,60,200,2484,6051,951,75,2243,113,255,1112,24,10857,26498,Peaceful Area
KUSHI NAGAR,459,308,125,411,343,13,87,407,1071,651,76,2063,251,326,251,1570,4719,14267,Peaceful Area
KUTCH,362,206,97,378,325,98,284,2337,4219,477,120,4110,15,21,2367,2351,23964,42700,Peaceful Area
KUTCH (EAST(G)),54,26,25,49,40,6,40,194,512,56,12,520,3,1,325,5,3703,5656,Peaceful Area
KUTCH (WEST-BHUJ),48,17,23,33,32,4,12,179,380,26,8,350,0,0,235,9,2220,3725,Peaceful Area
LAHAUL-SPITI,9,1,10,4,4,0,3,23,28,4,5,22,0,2,11,107,565,822,Peaceful Area
LAKHISARAI,593,630,156,460,189,91,261,342,1111,287,82,1958,124,7,217,543,4345,12557,Peaceful Area
LAKSHADWEEP,3,6,7,1,1,3,0,36,113,0,22,57,0,0,7,0,327,743,Peaceful Area
LALITPUR,229,97,122,141,112,19,57,247,564,254,25,534,101,203,237,536,2655,6737,Peaceful Area
LATEHAR,495,180,162,166,94,285,188,209,734,72,43,442,40,0,57,421,2081,6075,Peaceful Area
LAWNGTLAI,42,14,40,6,1,4,6,231,416,46,8,80,2,1,0,20,656,1635,Peaceful Area
LEH,27,18,35,28,26,0,3,146,86,41,0,14,0,2,1,0,1628,2168,Peaceful Area
LOHARDAGGA,438,149,261,177,86,83,229,212,740,181,53,524,9,0,210,286,1954,6046,Peaceful Area
LOHIT,146,29,50,96,67,26,65,206,391,24,21,349,0,0,5,102,529,2154,Peaceful Area
LONGLENG,3,9,1,2,1,0,1,2,16,3,0,3,0,0,0,0,41,84,Peaceful Area
LUDHIANA RURAL,85,98,49,90,59,1,11,231,458,283,0,445,12,8,115,344,1118,3445,Peaceful Area
LUNGLEI,39,30,104,10,0,4,15,673,1402,74,34,120,0,1,0,11,476,3154,Peaceful Area
MADHEPURA,636,389,174,504,311,156,444,310,1397,267,100,2027,126,2,186,415,8056,17472,Peaceful Area
MADURAI URBAN,347,551,70,319,207,35,407,1156,6235,2054,71,1979,78,392,587,1377,19983,36716,Peaceful Area
MAHARAJGANJ,348,157,193,352,326,19,108,338,567,623,27,938,155,228,282,1071,3714,10073,Peaceful Area
MAHASAMUND,255,156,359,128,117,19,118,1527,2062,278,90,2195,48,52,265,1406,8894,18975,Peaceful Area
MAHENDRAGARH,309,154,198,278,215,62,118,1226,2441,134,115,1783,107,0,593,53,9608,18618,Peaceful Area
MAHOBA,387,184,106,210,170,20,123,363,598,234,41,337,146,80,152,447,2588,6718,Peaceful Area
MAJITHA,216,159,66,91,70,2,17,178,318,398,14,869,32,3,125,490,1024,4151,Peaceful Area
MALKANGIR,461,341,167,105,92,105,60,219,496,95,73,463,24,36,137,217,1564,5325,Peaceful Area
MAMIT,30,17,47,8,0,9,21,191,244,17,24,87,0,0,15,19,166,948,Peaceful Area
MANDI,152,94,261,164,140,1,23,1040,947,353,300,1903,5,83,470,767,13824,22050,Peaceful Area
MANDLA,364,180,644,77,72,5,78,1098,870,185,69,3946,45,135,349,812,12434,22636,Peaceful Area
MANDSAUR,383,419,521,251,162,26,377,1967,4360,341,233,3296,80,143,748,1177,20985,37672,Peaceful Area
MANGALORE CITY,50,38,28,24,8,1,99,247,471,222,16,410,1,3,91,33,3276,5300,Peaceful Area
MANSA,319,345,171,114,72,10,17,533,628,665,22,1817,47,2,178,131,2495,7787,Peaceful Area
MAU,407,593,132,451,400,16,250,718,1378,622,69,1437,131,332,535,925,2912,12588,Peaceful Area
MEWAT,167,271,264,193,107,98,119,300,2346,400,36,925,57,50,1121,19,6012,13684,Peaceful Area
MIDNAPUR,120,20,84,74,74,16,59,39,581,27,23,63,58,1,470,9,2440,4617,Peaceful Area
MIRZAPUR,453,260,110,144,94,40,144,474,1208,564,7,1401,258,87,737,1026,3863,11503,Peaceful Area
MOGA,362,444,152,235,144,23,65,991,1514,1332,30,2699,47,9,261,931,2731,12371,Peaceful Area
MOKOKCHUNG,94,33,12,26,1,6,35,82,164,27,15,64,0,3,0,52,190,840,Peaceful Area
MON,84,37,13,13,5,19,36,64,204,22,5,65,0,0,0,24,157,771,Peaceful Area
MORIGAON,254,113,658,752,726,64,89,658,1212,369,61,2784,37,9,889,643,3148,13375,Peaceful Area
MUKTSAR,274,339,149,178,119,10,32,734,1082,619,19,1699,41,3,229,652,1917,8306,Peaceful Area
MUMBAI RLY.,97,46,31,56,31,21,824,36,21604,408,0,489,3,29,0,21,1100,25194,Peaceful Area
MUNGELI,18,4,6,13,13,0,9,83,94,13,12,31,2,3,26,39,590,1012,Peaceful Area
MUNGER,884,821,155,693,352,133,459,532,2463,584,113,2967,128,0,476,510,9335,22716,Peaceful Area
MUZAFFARPUR RLY.,200,61,23,78,20,102,159,106,3808,193,1,392,4,0,7,54,1740,7113,Peaceful Area
MYSORE COMMR.,343,447,124,193,142,44,1290,1836,6727,1147,0,3617,73,1,960,0,13334,31459,Peaceful Area
MYSORE RURAL,696,509,200,252,158,61,205,2174,3007,366,0,10660,123,2,1141,0,16071,39229,Peaceful Area
N.C.HILLS,294,129,33,166,95,20,61,139,465,44,76,286,5,4,92,139,609,2721,Peaceful Area
NAGPUR RLY.,79,33,11,20,16,78,299,22,11204,55,8,286,3,19,4,24,1323,13825,Peaceful Area
NAINITAL,326,281,109,270,251,44,187,539,1984,362,5,672,123,100,257,833,3359,10211,Peaceful Area
NALBARI,380,274,322,696,544,151,263,938,1572,294,143,3078,31,0,609,446,4323,14382,Peaceful Area
NANDURBAR,427,188,221,110,92,88,126,865,2057,422,65,3071,17,81,996,1308,4412,16043,Peaceful Area
NARAYANPUR,187,349,25,28,4,86,16,64,74,12,61,191,1,3,6,67,398,1610,Peaceful Area
NARMADA,173,36,73,60,54,29,16,202,391,67,69,1228,0,6,107,675,5076,8518,Peaceful Area
NAUGACHIA,472,405,89,331,130,72,187,179,653,332,50,1414,90,0,313,684,6212,13218,Peaceful Area
NAVSARI,265,61,42,116,100,41,93,804,1459,139,40,953,3,5,381,0,9602,14631,Peaceful Area
NAWAN SHAHR,129,147,82,89,61,10,63,399,614,542,14,1394,22,4,146,514,907,5181,Peaceful Area
NAYAGARH,382,369,246,306,241,69,284,694,1394,262,133,3734,134,34,384,451,3277,12732,Peaceful Area
NEEMUCH,210,194,301,143,81,18,205,1850,3381,257,115,4930,32,131,602,744,10391,25263,Peaceful Area
NEW DELHI,86,88,84,303,181,7,191,590,9318,2500,19,394,7,130,94,749,8325,23713,Peaceful Area
NICOBAR,12,2,2,1,0,1,0,23,23,3,3,34,0,0,1,0,117,235,Peaceful Area
NILGIRIS,173,190,90,64,52,5,62,894,1220,152,10,2561,8,49,93,458,10257,16825,Peaceful Area
NORTH EAST,236,277,195,652,487,13,260,579,3668,325,7,946,71,15,309,182,5328,13427,Peaceful Area
NORTH GOA,291,134,169,113,77,26,166,2118,4638,689,150,1297,11,71,92,1511,5659,18248,Peaceful Area
NOWRANGPUR,302,239,337,270,252,58,138,539,788,132,79,797,15,102,296,435,4058,9909,Peaceful Area
NUAPADA,161,96,116,122,90,29,120,310,700,154,70,505,25,61,201,286,4431,8234,Peaceful Area
PAKUR,396,516,467,176,100,62,82,170,881,183,64,1393,28,1,361,322,2103,8257,Peaceful Area
PALWAL,252,288,230,261,199,51,168,513,3231,232,31,1128,80,67,549,184,6009,14679,Peaceful Area
PANCHKULA,162,70,144,229,163,30,117,1627,3432,626,8,410,38,159,784,335,7244,15938,Peaceful Area
PANCHSHIL NAGAR,117,140,33,165,129,5,93,91,719,225,3,57,32,0,128,368,1410,3824,Peaceful Area
PANNA,393,294,433,114,58,20,197,1451,1085,131,126,2157,194,31,352,596,12655,21413,Peaceful Area
PAPUM PARE,90,65,71,182,102,57,230,579,1439,170,64,858,0,11,34,139,1485,5853,Peaceful Area
PATAN,220,159,108,338,318,77,190,1082,3556,278,136,4283,0,3,1518,1340,17182,31882,Peaceful Area
PATHANAMTHITTA,253,189,262,128,110,22,263,1883,2042,1269,206,12603,8,146,1612,13,31190,57475,Peaceful Area
PATHANKOT,23,15,23,28,23,1,4,55,93,70,1,82,12,0,46,128,410,1013,Peaceful Area
PATNA RLY.,226,153,14,87,27,202,232,29,8327,219,0,13,25,0,15,13,2686,12653,Peaceful Area
PAURI GARHWAL,161,95,55,102,95,15,82,406,605,153,31,617,65,22,126,278,741,3913,Peaceful Area
PERAMBALUR,292,399,159,277,238,12,119,562,1809,355,145,4537,32,85,213,1738,14445,26288,Peaceful Area
PEREN,50,32,7,7,0,1,9,41,75,7,2,23,0,1,0,5,50,323,Peaceful Area
PHEK,63,49,18,16,1,12,26,57,96,10,6,60,0,0,0,0,151,603,Peaceful Area
PITHORAGARH,74,51,59,33,23,6,53,221,252,66,29,227,41,10,78,13,1317,2799,Peaceful Area
PONDICHERRY,185,204,41,76,51,9,37,656,3887,230,112,6078,21,197,59,1327,15815,30420,Peaceful Area
POONCH,504,897,161,272,244,1,3,301,518,117,164,521,0,49,128,62,4151,8981,Peaceful Area
PORBANDAR,121,83,40,114,96,1,63,474,899,157,49,1235,7,7,669,551,6997,11988,Peaceful Area
PRABUDDH NAGAR,112,123,18,130,114,3,96,46,376,109,3,13,22,0,138,123,1046,2554,Peaceful Area
PUDUCHERRY,146,109,24,75,55,29,46,289,3006,278,53,3252,4,62,40,977,9175,18405,Peaceful Area
PUDUKOTTAI,402,535,99,377,321,12,166,802,2558,339,228,3512,42,37,370,2719,27899,41981,Peaceful Area
PULWAMA,338,606,79,480,427,28,175,610,1130,112,157,555,3,112,4,95,2363,8754,Peaceful Area
PUNE RLY.,31,11,10,12,6,46,110,3,3600,32,1,68,1,3,0,10,443,4474,Peaceful Area
PURULIA,733,12,497,276,198,63,278,49,2526,376,24,205,106,0,1778,206,7976,16958,Peaceful Area
R.P.O.,60,4,50,30,20,53,10,12,129,5,2,15,0,0,22,1,508,1016,Peaceful Area
RAICHUR,535,456,195,262,192,44,142,1234,1575,1048,91,6592,64,33,1301,129,15839,33624,Peaceful Area
RAIGAD,536,258,253,124,80,208,289,1902,3963,901,111,3186,56,120,608,3641,7637,26251,Peaceful Area
RAIGARH,771,357,557,145,132,51,402,2679,4053,397,172,5150,78,87,414,1670,10498,29582,Peaceful Area
RAILWAYS,205,35,10,31,6,32,305,61,7684,55,3,470,11,46,3,50,1487,11091,Peaceful Area
RAILWAYS JAMMU,0,3,0,0,0,0,0,0,6,3,1,0,0,1,0,2,13,29,Peaceful Area
RAILWAYS KASHMIR,0,0,0,1,1,0,0,1,18,2,0,0,0,1,0,0,17,43,Peaceful Area
RAILWAYS KATRA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,Peaceful Area
RAILWAYS KMR,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,10,Peaceful Area
RAJAHMUNDRY,65,101,38,75,45,4,27,354,1095,244,12,2104,10,108,468,484,841,6288,Peaceful Area
RAJNANDGAON,539,338,664,132,111,39,216,2388,2549,313,187,1251,76,73,481,1258,21070,32999,Peaceful Area
RAJOURI,459,719,295,408,381,9,19,604,663,235,340,359,23,75,348,254,10711,16348,Peaceful Area
RAJSAMAND,208,169,125,585,488,6,134,1015,2041,1856,152,10436,40,11,2010,1761,7304,29413,Peaceful Area
RAMABAI NAGAR,124,74,51,256,237,9,35,60,309,190,16,741,79,0,230,717,2422,5680,Peaceful Area
RAMANAGAR,399,312,78,190,143,65,357,1214,2382,298,185,2980,87,0,319,0,11152,21771,Peaceful Area
RAMBAN,327,420,109,146,130,4,2,274,401,80,123,103,0,41,4,24,5568,7908,Peaceful Area
RAMGARH,210,75,118,158,120,90,144,171,1503,214,22,636,47,4,128,458,1740,6336,Peaceful Area
RAMNATHAPURAM,433,662,118,384,304,25,171,914,2320,518,284,5515,36,61,205,1903,22513,37777,Peaceful Area
RATNAGIRI,225,100,240,101,70,50,168,1737,2700,571,243,2312,9,235,542,1574,4843,17421,Peaceful Area
RAYAGADA,341,282,275,199,159,78,147,507,898,211,87,339,43,44,348,818,4553,10638,Peaceful Area
REASI,255,421,88,148,132,8,9,198,326,67,99,40,0,47,16,13,3159,5070,Peaceful Area
REWARI,320,244,212,277,222,98,311,1675,4213,238,125,1899,126,94,690,48,11454,23249,Peaceful Area
RI-BHOI,196,26,136,53,27,114,93,33,600,58,59,193,0,0,7,79,791,2520,Peaceful Area
ROPAR,249,153,136,206,122,5,28,858,1576,1084,35,1329,44,29,302,2010,4698,13042,Peaceful Area
ROURKELA,482,357,295,178,156,136,399,1176,3204,497,49,1715,40,78,388,1088,7050,18312,Peaceful Area
RUDRA PRAYAG,60,31,26,30,28,3,30,154,126,48,14,118,49,14,33,113,263,1306,Peaceful Area
RURAL,9,6,11,11,9,4,4,24,31,15,7,66,0,0,4,7,70,298,Peaceful Area
S.T.F.,1,17,1,0,0,0,0,0,2,80,0,0,0,0,0,0,40,158,Peaceful Area
SAHARSA,486,1405,197,540,225,82,482,486,1394,583,127,2596,136,2,251,468,7620,20316,Peaceful Area
SAHEBGANJ,626,588,549,385,225,61,136,320,1183,294,75,1207,63,3,334,366,3396,10561,Peaceful Area
SAIHA,25,15,33,8,4,2,4,261,552,32,18,124,2,1,0,10,778,1961,Peaceful Area
SALEM URBAN,242,254,154,261,206,19,256,557,3513,604,21,2967,52,184,313,1467,19179,30591,Peaceful Area
SAMBA,38,82,24,41,40,0,1,143,213,45,16,18,5,34,23,4,2659,3497,Peaceful Area
SAMBALPUR,513,668,326,190,143,179,844,1927,3603,375,110,2349,31,91,312,1675,11215,26185,Peaceful Area
SANGRUR,457,534,289,278,175,37,81,1416,2127,1505,48,2582,92,29,575,1708,6406,18771,Peaceful Area
SANT KABIRNAGAR,208,183,116,310,294,5,115,268,610,331,25,1333,87,151,205,547,2396,7524,Peaceful Area
SARAIKELA,644,556,301,210,107,142,220,401,1953,249,11,819,54,2,224,692,3374,10538,Peaceful Area
SAS NGR,164,197,133,239,157,13,26,1137,2531,1520,0,1005,29,10,280,2587,3398,13503,Peaceful Area
SAWAI MADHOPUR,274,319,245,740,561,6,161,1023,5178,2352,149,236,85,0,1724,892,26299,40574,Peaceful Area
SBS NAGAR,102,79,72,55,36,7,87,333,446,372,8,815,14,4,128,448,757,3808,Peaceful Area
SEALDAH G.R.P.,188,58,19,67,36,18,115,0,2981,94,0,247,11,2,10,4,549,4746,Peaceful Area
SECUNDERABAD RLY.,104,8,7,9,3,8,54,6,4819,52,2,138,8,10,5,33,690,6163,Peaceful Area
SENAPATI,135,150,7,99,9,11,15,28,160,31,95,39,0,0,0,2,773,1720,Peaceful Area
SEONI,414,257,708,112,93,5,117,1311,1530,299,88,3916,137,164,324,1228,17052,29447,Peaceful Area
SERCHHIP,21,15,55,3,2,1,2,238,339,16,13,81,0,0,1,7,239,1103,Peaceful Area
SHAHDOL,492,233,721,155,138,18,332,2982,2808,265,171,3286,153,104,1058,104,23283,38499,Peaceful Area
SHEIKHPURA,346,217,57,242,96,71,113,170,861,304,46,1070,88,0,209,236,5155,10367,Peaceful Area
SHEOHAR,184,175,90,222,133,101,71,134,446,134,40,1255,57,1,112,66,2055,5953,Peaceful Area
SHEOPUR,180,236,215,107,43,20,120,589,981,119,35,3984,36,6,256,312,6413,14570,Peaceful Area
SHIMLA,194,126,309,266,233,5,49,1618,2177,413,251,798,6,43,335,1080,14282,23949,Peaceful Area
SHOPIAN,28,118,31,180,176,2,29,154,503,45,44,14,0,32,2,35,776,2578,Peaceful Area
SHRAWASTI,228,159,111,238,211,30,78,307,587,261,16,1145,108,77,104,324,1368,5716,Peaceful Area
SIANG EAST,53,24,100,91,63,31,103,311,676,50,15,528,0,0,13,55,647,2874,Peaceful Area
SIANG UPPER,21,13,21,18,17,1,8,96,149,17,12,142,0,0,4,12,144,716,Peaceful Area
SIANG WEST,65,47,53,90,69,13,70,269,541,52,45,626,0,5,35,45,952,3160,Peaceful Area
SIDHARTHNAGAR,196,113,103,333,323,26,87,471,892,348,10,761,149,175,301,586,3324,8601,Peaceful Area
SILIGURI G.R.P.,42,3,2,31,23,13,15,1,1154,6,0,0,3,1,1,0,413,1760,Peaceful Area
SILIGURI_PC,32,6,21,123,111,3,29,3,849,195,3,812,3,12,370,69,385,3023,Peaceful Area
SIMDEGA,755,222,256,142,109,116,179,134,443,94,45,343,7,4,44,151,1258,4426,Peaceful Area
SINDHUDURG,154,69,98,60,42,25,93,1128,1341,391,148,1586,10,120,105,880,2661,9731,Peaceful Area
SINGRAULI,174,73,206,114,107,19,46,520,684,47,32,1610,79,12,306,595,5628,10813,Peaceful Area
SIPAHIJALA,12,9,23,29,24,0,10,37,84,14,17,250,3,1,155,5,279,987,Peaceful Area
SIRMAUR,106,59,128,144,128,3,18,523,610,206,66,574,6,27,259,646,4851,9415,Peaceful Area
SIROHI,328,314,233,454,401,15,133,1221,1697,1617,172,5728,63,4,1431,1639,7847,24249,Peaceful Area
SIRSA,438,351,277,387,225,35,145,2056,3945,491,106,3807,101,1,1453,45,7952,22404,Peaceful Area
SIVAGANGAI,375,500,61,333,266,30,144,1099,2925,619,194,4049,44,109,471,2160,19807,33704,Peaceful Area
SOLAN,106,70,137,152,129,9,17,892,1072,149,76,3595,7,14,261,604,6079,14358,Peaceful Area
SOLAPUR COMMR.,257,254,229,181,123,142,536,2091,4609,1126,67,2182,22,69,776,1051,5342,20306,Peaceful Area
SONBHADRA,343,194,165,200,161,16,81,380,846,530,41,1073,149,185,190,1159,2212,8532,Peaceful Area
SONEPUR,137,229,127,66,45,20,95,325,553,150,54,706,23,25,111,211,2121,5797,Peaceful Area
SOPORE,50,151,20,114,106,2,16,219,424,19,28,3,0,31,14,0,513,1952,Peaceful Area
SOUTH GOA,196,135,181,123,87,29,132,1582,3407,487,122,990,8,52,99,1153,4289,13803,Peaceful Area
SOUTH WEST,202,191,246,515,334,19,233,1457,6517,734,33,642,70,65,289,248,9320,21314,Peaceful Area
SPL CELL,0,11,0,0,0,0,0,0,1,73,0,0,0,0,0,0,39,133,Peaceful Area
SRP(CUTTACK),34,29,8,37,19,12,133,98,4113,53,2,328,1,7,10,5,1039,6016,Peaceful Area
SRP(ROURKELA),73,28,15,24,20,14,110,156,1961,26,0,49,3,3,13,35,1258,3893,Peaceful Area
ST.RAVIDASNAGAR,197,217,22,94,69,21,103,335,718,205,14,807,112,58,221,599,1213,5372,Peaceful Area
STF,1,36,0,1,0,1,2,0,1,45,1,0,0,0,0,0,71,181,Peaceful Area
SUBANSIRI LOWER,52,30,16,45,27,13,62,156,213,19,19,254,0,0,2,33,447,1460,Peaceful Area
SUBANSIRI UPPER,49,27,26,38,32,10,62,134,200,34,20,485,0,0,14,39,513,1767,Peaceful Area
SUKMA,24,30,1,7,5,6,3,8,7,2,10,14,0,0,2,15,71,205,Peaceful Area
SUNDARGARH,793,560,356,220,172,117,452,884,1994,224,104,5868,45,81,168,2083,3109,18386,Peaceful Area
SUPAUL,488,609,347,554,299,246,372,475,1675,404,109,2428,134,0,319,338,8872,20702,Peaceful Area
SURAJPUR,416,147,544,86,73,32,144,798,827,170,61,2755,24,18,355,721,3424,11397,Peaceful Area
SURAT RURAL,627,108,123,211,165,120,186,941,2533,332,90,2370,10,5,642,4395,13121,26600,Peaceful Area
SURENDRANAGAR,384,213,206,441,386,78,202,1307,2849,170,116,5805,13,30,1183,2066,19379,36446,Peaceful Area
TAMENGLONG,51,33,2,22,1,0,2,1,53,7,45,25,0,0,0,2,166,463,Peaceful Area
TAPI,79,13,20,13,12,5,16,92,332,18,13,528,0,0,56,571,1557,3440,Peaceful Area
TARN TARAN,470,436,221,214,148,28,48,572,964,1060,0,1815,57,1,231,886,2521,9950,Peaceful Area
TAWANG,13,2,5,1,1,1,5,76,142,8,0,73,0,2,3,38,163,580,Peaceful Area
TEHRI GARHWAL,85,97,44,61,61,1,35,190,309,109,14,189,39,10,77,184,883,2581,Peaceful Area
THIRUNELVELI URBAN,199,702,64,148,113,12,182,511,2164,415,57,1176,16,204,131,884,9381,16548,Peaceful Area
THIRUVALLUR,375,469,159,226,192,30,146,941,2302,357,133,7392,87,117,268,3059,23531,41317,Peaceful Area
THIRUVARUR,307,439,81,229,192,16,111,891,2193,241,276,8384,33,106,132,1719,24010,40312,Peaceful Area
THOUBAL,344,682,113,400,267,3,12,91,462,277,126,905,0,2,97,27,2065,6039,Peaceful Area
THRISSUR COMMR.,17,31,63,25,19,8,56,130,308,1044,17,699,0,60,277,6,7311,11122,Peaceful Area
THRISSUR RURAL,42,90,115,24,21,9,74,316,453,820,65,1726,3,64,810,14,18516,24889,Peaceful Area
TIRAP,66,38,14,67,19,18,55,206,242,12,6,261,1,0,3,22,546,1627,Peaceful Area
TIRUPATHI URBAN,112,94,32,72,30,4,40,487,2105,567,21,2077,16,43,293,649,1340,8164,Peaceful Area
TIRUPPUR,228,178,39,225,167,27,423,993,3086,534,28,2013,25,8,257,2882,12839,24261,Peaceful Area
TRICHY RLY.,11,10,1,1,1,2,39,18,744,16,0,172,1,7,4,48,1006,2126,Peaceful Area
TRICHY URBAN,228,242,44,195,127,13,175,805,5202,782,19,2301,41,730,331,1570,23217,36196,Peaceful Area
TRIVANDRUM,111,148,113,77,45,59,242,1314,1489,791,144,4986,8,18,524,0,11284,24058,Peaceful Area
