DISTRICT,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,DACOITY,ROBBERY,BURGLARY,THEFT,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Area
BHATINDA,541,601,302,384,276,11,60,1983,2877,2025,65,2860,51,20,509,256,6259,19491,Peaceful Area
BHIM NAGAR,149,186,57,207,196,26,91,156,475,79,2,152,56,0,125,179,1393,3651,Peaceful Area
BHOPAL RLY.,54,42,20,17,9,12,239,124,12301,67,7,70,16,34,11,22,3245,16507,Peaceful Area
BIDAR,472,602,105,253,172,59,299,1802,2313,476,209,11718,86,23,832,55,23267,45398,Peaceful Area
BIEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,Peaceful Area
BIJAPUR,736,638,155,338,225,60,262,1518,1739,699,193,7409,36,0,1392,0,18172,37987,Peaceful Area
BISHNUPUR,230,400,40,143,86,4,3,69,297,90,89,460,0,0,21,4,1458,3612,Peaceful Area
BIZAPUR,738,1014,63,51,15,245,40,105,109,35,123,182,1,0,19,109,919,3933,Peaceful Area
BKP CP,89,49,36,214,201,16,48,9,1357,224,0,143,20,2,989,124,2961,6608,Peaceful Area
BOLANGIR,413,734,453,287,227,73,396,1006,1777,554,159,1164,82,113,533,804,9981,21339,Peaceful Area
BONGAIGAON,298,90,478,619,508,136,137,926,1316,237,65,1118,55,0,1101,807,4284,12893,Peaceful Area
BORDER,35,121,35,52,47,2,4,94,110,42,14,63,0,51,12,194,2452,3451,Peaceful Area
BORDER DISTRICT,18,32,12,22,15,0,0,39,94,17,2,24,3,10,7,1,839,1192,Peaceful Area
BOUDH,145,103,89,67,57,8,62,262,415,45,124,1520,19,33,138,93,1344,5307,Peaceful Area
BUDGAM,292,367,104,763,712,4,68,958,2078,207,140,32,0,249,10,207,5359,13673,Peaceful Area
BURHANPUR,146,101,174,23,22,50,61,441,1075,97,38,1382,45,87,215,388,7418,12453,Peaceful Area
C.I.D.,2,0,4,8,4,0,2,0,14,97,0,0,0,0,0,0,236,384,Peaceful Area
CAR,2,0,0,1,1,1,0,0,4,2,0,4,0,0,0,1,8,24,Peaceful Area
CAW,0,0,1,0,0,0,0,0,0,0,0,2,0,0,789,0,1,796,Peaceful Area
