DISTRICT,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,DACOITY,ROBBERY,BURGLARY,THEFT,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Area
RATLAM,516,548,878,246,200,25,388,1821,4525,426,238,5616,100,270,905,1324,23375,43683,Moderate Area
REWA,648,486,752,380,267,47,691,6329,5514,479,312,8805,403,141,850,1929,27489,57608,Moderate Area
ROHTAK,742,572,400,327,215,66,370,2887,6552,942,94,2087,201,422,974,2125,8576,28707,Moderate Area
ROHTAS,1456,1566,237,895,470,424,647,1638,4930,482,256,4367,480,11,574,3078,17101,41706,Moderate Area
SAGAR,951,1254,1502,525,468,18,601,4879,6091,433,447,31377,403,247,1733,1967,36580,95017,Moderate Area
SAHARANPUR,947,1129,211,670,515,34,421,712,4646,2208,8,385,268,583,1830,1487,13901,31782,Moderate Area
SALEM RURAL,806,987,402,985,917,64,258,1043,2828,575,429,21864,75,46,993,5103,29704,70481,Moderate Area
SAMASTIPUR,1296,2265,382,1328,433,223,624,1041,3937,561,553,3533,497,32,605,1502,19269,42318,Moderate Area
SANGLI,815,335,429,275,148,117,316,2573,6439,1921,343,4969,107,120,1103,3482,7412,33509,Moderate Area
SARAN,1477,2410,319,1271,780,412,775,1396,4795,1052,407,12828,777,2,1270,1579,12296,47474,Moderate Area
SARGUJA,851,390,1150,199,178,87,394,2299,2463,303,189,1716,15,25,463,685,12461,25863,Moderate Area
SATARA,728,394,370,327,234,279,898,4140,9795,1453,307,5545,73,146,2161,4839,13679,48700,Moderate Area
SATNA,807,615,986,262,139,45,580,4787,5388,302,278,11530,368,99,1097,2847,29726,62648,Moderate Area
SHAHJAHANPUR,1563,1611,465,1170,896,87,440,705,2763,1050,116,2381,569,277,438,2122,10383,28037,Moderate Area
SHAJAPUR,436,537,826,192,143,40,572,2527,6032,240,341,13539,112,307,745,1298,12575,43219,Moderate Area
SHIMOGA,584,619,195,298,216,86,535,2521,3982,793,145,12751,58,42,2273,86,25914,55397,Moderate Area
SHIVPURI,814,700,896,333,205,61,471,2177,3171,297,326,9903,159,54,511,1839,26451,51018,Moderate Area
SIBSAGAR,828,321,655,1157,965,55,298,1212,4309,623,247,2949,38,0,1312,869,7782,24118,Moderate Area
SIDHI,517,200,557,332,308,26,216,3021,2839,293,153,5634,263,45,569,1235,21451,39209,Moderate Area
SIHORE,401,566,806,250,225,37,220,2259,4132,310,220,4501,107,159,619,1587,23942,41929,Moderate Area
SIKAR,547,379,376,827,544,9,99,2024,4927,4980,367,4566,191,0,2353,3089,26553,54004,Moderate Area
SITAMARHI,774,292,289,924,591,294,390,997,3508,344,223,3834,288,2,542,649,19051,35390,Moderate Area
SITAPUR,1445,1624,682,1510,1277,42,600,1356,5218,1017,222,3155,777,271,1200,2288,13649,37798,Moderate Area
SIWAN,1141,1125,187,1189,783,375,940,939,2755,748,257,4851,564,9,642,1135,10974,30855,Moderate Area
SOLAPUR RURAL,1081,558,589,393,279,269,663,2797,6617,948,406,7873,69,194,1758,5244,12899,46732,Moderate Area
SONIPAT,913,610,294,556,404,80,474,2317,6720,923,127,3315,247,290,1450,2901,10551,32592,Moderate Area
SONITPUR,1116,259,892,1699,1580,185,309,2063,4772,647,210,3047,89,0,2317,2885,10978,33647,Moderate Area
SOUTH-EAST,269,193,391,1885,1089,8,286,886,12477,937,28,1190,76,140,510,1338,9635,31194,Moderate Area
SOUTH-WEST,433,314,501,1904,1249,16,356,1748,11290,1126,44,1048,134,105,1209,304,16661,38093,Moderate Area
SRIKAKULAM,405,236,274,217,200,24,66,1437,2580,882,295,13049,83,600,2607,3165,12699,40293,Moderate Area
SRINAGAR,442,1070,229,1265,1102,27,365,3383,5333,932,359,261,0,1188,267,531,13216,33733,Moderate Area
SULTANPUR,711,985,265,556,480,31,344,1080,2603,594,98,3071,237,256,767,1636,5957,20791,Moderate Area
SURAT COMMR.,1108,295,311,1150,763,236,863,4739,23340,2346,103,6788,157,47,2909,3844,34301,85040,Moderate Area
THANE RURAL,1688,570,725,512,293,476,1667,6989,10368,2330,326,9068,86,366,1344,7326,11797,61234,Moderate Area
THANJAVUR,724,993,101,537,441,28,520,2111,6953,471,323,9150,49,93,291,4211,36833,65756,Moderate Area
THENI,364,755,117,440,373,19,246,1104,3005,1181,209,7300,54,164,534,2183,27605,46741,Moderate Area
THIRUNELVELI RURAL,933,2065,505,602,518,20,537,2190,5210,1013,741,11797,61,223,936,3688,51712,83750,Moderate Area
THIRUVANNAMALAI,478,525,209,458,401,17,99,1130,3530,603,294,8613,39,180,284,3324,28687,50648,Moderate Area
THOOTHUGUDI,828,1534,248,399,271,27,414,2053,5379,1063,354,7145,34,953,586,3155,35537,60701,Moderate Area
THRISSUR,388,497,410,191,100,134,724,2752,4345,4059,295,12523,22,225,2836,73,62982,101593,Moderate Area
TIKAMGARH,548,427,702,169,116,27,355,1820,2027,209,270,11418,225,48,436,978,15863,37897,Moderate Area
TINSUKIA,1180,185,579,1056,877,207,388,1695,6041,291,142,1755,41,0,780,975,7443,23896,Moderate Area
TONK,253,322,213,760,640,5,110,1206,3570,2481,134,13277,49,22,2764,1804,14238,42919,Moderate Area
TRICHY RURAL,594,484,133,351,306,27,233,783,2380,266,135,6555,63,31,324,5593,26824,45584,Moderate Area
TRIVANDRUM COMMR.,119,255,260,213,131,86,852,2409,4583,3220,136,9030,9,205,1177,15,27629,57030,Moderate Area
TRIVANDRUM RURAL,334,303,606,291,213,94,685,3480,3735,2401,348,19441,42,173,3097,19,42137,87612,Moderate Area
TUMKUR,914,682,208,284,108,127,572,3029,5543,794,323,10624,176,2,803,258,27393,55937,Moderate Area
UDAIPUR,825,989,957,1787,1454,24,699,3278,7648,6490,504,18161,131,20,3234,3986,30212,83890,Moderate Area
UJJAIN,784,1715,838,459,360,68,1100,5944,14189,804,419,8987,167,453,2034,1550,54445,97841,Moderate Area
UNNAO,1079,866,450,959,857,49,365,692,2243,714,49,2672,512,365,1061,2073,8532,24792,Moderate Area
UTTAR DINAJPUR,638,1062,833,1059,867,123,221,84,3684,290,156,5202,150,9,3095,1029,10458,29972,Moderate Area
VADODARA COMMR.,355,345,81,510,419,109,546,4353,16108,1973,441,3813,1,51,2239,1664,32216,67448,Moderate Area
VADODARA RURAL,862,191,200,588,555,156,192,923,2699,270,294,4199,0,1,874,3239,19950,36234,Moderate Area
VAISHALI,1287,1158,306,1908,1093,169,633,1629,5524,1178,294,5111,857,1,1130,1679,21545,49204,Moderate Area
VARANASI,751,740,172,668,496,27,478,1412,7363,2022,55,2552,360,703,1408,1673,11194,34230,Moderate Area
VELLORE,871,598,274,609,480,34,208,2318,6821,760,286,14838,98,124,484,6343,52065,88523,Moderate Area
VIDISHA,561,649,1137,209,179,37,287,2758,3792,407,323,8891,201,252,823,993,25205,50039,Moderate Area
VIJAYAWADA,213,234,134,374,228,18,204,3101,12278,3188,119,9360,36,757,3571,1212,3678,39350,Moderate Area
VIJAYAWADA CITY,254,377,200,485,352,10,226,1663,9425,2625,144,11687,94,1802,4523,2138,5032,42500,Moderate Area
VILLUPURAM,826,1234,613,952,822,48,251,1400,4378,640,420,8886,68,223,671,7478,49783,82961,Moderate Area
VIRUDHUNAGAR,580,702,204,477,418,26,330,1440,4790,1122,261,6084,30,851,662,2901,33457,55606,Moderate Area
VISAKHA RURAL,737,318,228,191,140,20,66,1241,2260,871,270,14824,72,502,1739,3756,7016,35912,Moderate Area
VISAKHAPATNAM,340,321,343,403,274,64,243,3925,11456,3154,129,8827,93,863,4281,3451,15647,55171,Moderate Area
VIZIANAGARAM,412,278,223,177,135,27,66,1376,2610,922,114,7865,59,646,2829,2723,16182,37750,Moderate Area
WARANGAL,1287,754,621,1109,842,44,217,3247,5847,2996,324,18544,438,306,3257,4544,25944,75347,Moderate Area
WARDHA,515,346,410,274,255,72,449,3003,8058,612,636,9289,34,391,1055,1883,16073,45933,Moderate Area
YAVATMAL,871,725,631,498,454,77,675,3265,11297,700,541,12091,126,397,2296,2667,18642,58921,Moderate Area
