DISTRICT,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Area type
BIDAR,105,172,86,712,23,832,0,Peaceful Area
BIEO,0,0,0,0,0,0,0,Peaceful Area
BIJAPUR,155,225,36,883,0,1392,10,Peaceful Area
BIJNOR,365,801,297,442,664,2144,0,Moderate Area
BIKANER,466,346,183,691,0,3447,0,Moderate Area
BILASPUR,894,351,214,2378,169,1618,0,Moderate Area
BIRBHUM,620,422,176,626,2,2629,0,Moderate Area
BISHNUPUR,40,86,0,109,0,21,0,Peaceful Area
BIZAPUR,63,15,1,43,0,19,0,Peaceful Area
BKP CP,36,201,20,88,2,989,0,Peaceful Area
BOKARO,465,484,259,146,11,792,0,Moderate Area
BOLANGIR,453,227,82,1635,113,533,0,Moderate Area
BONGAIGAON,478,508,55,175,0,1101,0,Peaceful Area
BORDER,35,47,0,48,51,12,0,Peaceful Area
BORDER DISTRICT,12,15,3,14,10,7,0,Peaceful Area
BOUDH,89,57,19,516,33,138,0,Peaceful Area
BUDGAM,104,712,0,1079,249,10,0,Peaceful Area
BULANDSHAHAR,404,1049,483,722,1021,2386,0,Moderate Area
BULDHANA,381,223,320,1442,406,2422,0,Moderate Area
BUNDI,455,878,51,1456,13,2819,0,Moderate Area
BURDWAN,796,551,370,924,14,5160,1,Moderate Area
BURHANPUR,174,22,45,478,87,215,0,Peaceful Area
BUXAR,150,281,281,169,1,493,11,Peaceful Area
C.I.D.,4,4,0,0,0,0,0,Peaceful Area
CACHAR,784,1370,108,920,1,4172,0,Moderate Area
CAR,0,1,0,1,0,0,0,Peaceful Area
CAW,1,0,0,3,0,789,0,Peaceful Area
CBCID,7,2,1,0,0,21,0,Peaceful Area
CBPURA,55,85,44,225,4,229,0,Peaceful Area
CENTRAL,281,665,45,419,131,606,1,Peaceful Area
CHAIBASA,483,135,39,135,7,181,1,Peaceful Area
CHAMARAJNAGAR,88,55,46,527,0,387,1,Peaceful Area
CHAMBA,142,173,8,259,11,117,0,Peaceful Area
CHAMOLI,44,30,27,66,14,27,0,Peaceful Area
CHAMPAWAT,22,24,13,39,3,27,0,Peaceful Area
CHAMPHAI,122,1,0,88,0,0,0,Peaceful Area
CHANDEL,4,3,0,4,0,0,0,Peaceful Area
CHANDIGARH,281,534,42,314,143,807,0,Peaceful Area
CHANDOLI,62,139,172,99,182,512,0,Peaceful Area
CHANDRAPUR,469,219,62,1246,857,1617,0,Moderate Area
CHANGLANG,53,55,1,36,0,23,0,Peaceful Area
CHATRA,170,125,164,20,0,77,0,Peaceful Area
CHENGAI,97,95,91,329,123,319,0,Peaceful Area
CHENNAI,531,377,271,849,2229,2212,0,Sensitive Area
CHENNAI RLY.,1,6,7,42,14,8,0,Peaceful Area
CHENNAISUBURBAN,96,58,66,154,194,157,0,Peaceful Area
CHHATARPUR,744,248,264,2166,152,745,0,Moderate Area
CHHINDWARA,1345,187,160,2384,376,1344,0,Moderate Area
CHICKMAGALUR,159,114,56,692,59,1035,5,Peaceful Area
CHIRANG,199,246,14,91,0,402,0,Peaceful Area
CHITRADURGA,229,177,73,954,2,648,0,Peaceful Area
CHITRAKOOT DHAM,190,91,136,215,10,130,0,Peaceful Area
CHITTOOR,368,531,262,1381,2179,3283,0,Sensitive Area
CHITTORGARH,738,1389,78,1264,22,5473,0,Moderate Area
CHURACHANDPUR,29,11,0,12,0,2,0,Peaceful Area
CHURU,360,222,133,418,4,2840,0,Peaceful Area
CID,0,0,0,0,0,0,0,Peaceful Area
CID CRIME,2,0,0,0,0,0,0,Peaceful Area
COIMBATORE RURAL,197,389,103,912,219,973,0,Peaceful Area
COIMBATORE URBAN,100,81,42,245,117,570,0,Peaceful Area
COOCHBEHAR,1217,1036,139,1005,12,3925,0,Moderate Area
CP AMRITSAR,71,122,19,31,5,293,0,Peaceful Area
CP JALANDHAR,70,109,15,63,10,263,0,Peaceful Area
CP LUDHIANA,172,283,33,84,37,363,0,Peaceful Area
CRIME BRANCH,4,1,0,0,0,0,0,Peaceful Area
CRIME JAMMU,0,0,0,0,0,0,0,Peaceful Area
CRIME KASHMIR,0,0,0,0,0,0,0,Peaceful Area
CRIME SRINAGAR,0,0,0,0,0,0,0,Peaceful Area
CSM NAGAR,76,263,42,109,0,118,0,Peaceful Area
CUDDALORE,294,534,105,619,408,470,0,Moderate Area
CUDDAPAH,298,522,146,1708,538,1790,0,Moderate Area
CUTTACK,422,508,409,451,60,1382,0,Moderate Area
CYBERABAD,641,857,437,1372,3168,8932,4,Sensitive Area
D and N HAVELI,56,94,1,50,4,38,0,Peaceful Area
DAHOD,87,389,0,246,1,328,0,Peaceful Area
DAKSHIN DINAJPUR,473,600,138,733,13,2149,0,Moderate Area
DAKSHIN KANNADA,127,70,20,479,39,489,0,Peaceful Area
DAMAN,17,11,2,15,1,18,0,Peaceful Area
DAMOH,567,137,310,1865,0,828,0,Moderate Area
DANTEWARA,136,60,7,143,9,50,0,Peaceful Area
DARBHANGA,583,672,396,547,4,1648,12,Moderate Area
DARJEELING,400,462,33,486,27,1346,1,Peaceful Area
DARRANG,784,941,60,1438,5,1645,0,Moderate Area
DATIYA,287,131,122,787,0,333,0,Peaceful Area
DAUSA,185,508,141,273,0,1363,0,Peaceful Area
DAVANAGERE,171,174,106,873,25,1092,0,Peaceful Area
DCP BBSR,202,183,95,274,51,248,0,Peaceful Area
DCP CTC,96,132,41,114,12,439,0,Peaceful Area
DEHRADUN,284,555,101,259,631,1224,0,Moderate Area
DEOGARH,148,65,24,691,26,162,0,Peaceful Area
DEOGHAR,435,69,178,129,49,379,12,Peaceful Area
DEORIA,95,323,287,118,86,308,0,Peaceful Area
DEWAS,993,219,174,2240,552,1746,0,Moderate Area
DHALAI,220,90,26,211,1,382,0,Peaceful Area
DHAMTARI,334,67,19,667,85,168,0,Peaceful Area
DHANBAD,449,728,441,403,53,452,0,Moderate Area
DHANBAD RLY.,12,13,17,43,0,7,0,Peaceful Area
DHAR,1124,365,521,2152,219,923,0,Moderate Area
DHARMAPURI,177,433,66,753,66,466,0,Peaceful Area
DHARWAD COMMR.,40,137,31,135,25,426,0,Peaceful Area
DHARWAD RURAL,44,38,26,250,0,198,0,Peaceful Area
DHEMAJI,727,483,19,374,0,1058,0,Moderate Area
DHENKANAL,244,226,177,1831,118,333,0,Moderate Area
DHOLPUR,311,516,262,325,0,1653,0,Moderate Area
DHUBRI,1363,1564,118,1549,15,4331,0,Moderate Area
DHULE,178,114,66,361,96,2080,0,Peaceful Area
DIBANG VALLEY,30,36,0,36,0,17,0,Peaceful Area
DIBRUGARH,591,512,29,564,0,1075,0,Moderate Area
DIMAPUR,63,38,0,50,5,7,1,Peaceful Area
DINDIGUL,170,483,44,455,99,764,5,Peaceful Area
DINDORI,370,22,26,687,45,201,0,Peaceful Area
DIU,3,4,1,0,1,17,0,Peaceful Area
DODA,168,336,0,191,59,121,0,Peaceful Area
