DISTRICT,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Total,Area type
UTTAR KANNADA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,Peaceful Area
UTTARKASHI,2.0,9.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26,Peaceful Area
VADODARA COMMR.,28.0,44.0,374.0,0.0,0.0,48.0,0.0,0.0,0.0,4.0,616,Peaceful Area
VAISHALI,53.0,39.0,490.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,588,Peaceful Area
VALSAD,8.0,22.0,32.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,66,Peaceful Area
VARANASI,26.0,79.0,233.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,425,Peaceful Area
VIJAYAWADA,16.0,28.0,66.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,159,Peaceful Area
VIJAYAWADA RLY.,4.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9,Peaceful Area
VILLUPURAM,34.0,122.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,363,Peaceful Area
VILUPPURAM,7.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,Peaceful Area
VIRUDHUNAGAR,37.0,48.0,55.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,220,Peaceful Area
VISAKHA RURAL,5.0,23.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,57,Peaceful Area
VISAKHAPATNAM,17.0,89.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,261,Peaceful Area
VIZIANAGARAM,8.0,46.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,193,Peaceful Area
W.RLY,20.0,5.0,14.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,99,Peaceful Area
W.RLY AHMEDABAD,2.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8,Peaceful Area
W.RLY VADODARA,3.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,14,Peaceful Area
WARANGAL URBAN,3.0,16.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,66,Peaceful Area
WARDHA,26.0,128.0,132.0,0.0,0.0,17.0,1.0,0.0,0.0,1.0,505,Peaceful Area
WASHIM,35.0,83.0,113.0,0.0,1.0,23.0,0.0,0.0,0.0,2.0,345,Peaceful Area
WAYANADU,16.0,81.0,18.0,0.0,1.0,2.0,9.0,0.0,0.0,0.0,287,Peaceful Area
WOKHA,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Peaceful Area
YADGIRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Peaceful Area
YAMUNANAGAR,1.0,15.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,54,Peaceful Area
ZUNHEBOTO,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,Peaceful Area
