DISTRICT,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Total,Area type
PANCHKULA,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11,Peaceful Area
PANCHMAHAL,7.0,3.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,119,Peaceful Area
PANCHSHIL NAGAR,19.0,15.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,Peaceful Area
PANNA,10.0,200.0,40.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,366,Peaceful Area
PAPUM PARE,0.0,14.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,Peaceful Area
PASCHIM MIDNAPUR,0.0,0.0,8.0,0.0,0.0,3.0,8.0,0.0,1.0,3.0,29,Peaceful Area
PATAN,20.0,30.0,91.0,0.0,0.0,53.0,0.0,0.0,0.0,4.0,219,Peaceful Area
PATHANAMTHITTA,15.0,116.0,65.0,0.0,1.0,4.0,19.0,0.0,0.0,0.0,262,Peaceful Area
PATHANKOT,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,Peaceful Area
PATNA RLY.,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,Peaceful Area
PAURI GARHWAL,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,Peaceful Area
PERAMBALUR,26.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,77,Peaceful Area
PEREN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
PHEK,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Peaceful Area
PILIBHIT,80.0,65.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322,Peaceful Area
PITHORAGARH,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Peaceful Area
PONDICHERRY,7.0,25.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,88,Peaceful Area
POONCH,7.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,15,Peaceful Area
PORBANDAR,12.0,5.0,37.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,105,Peaceful Area
PRABUDDH NAGAR,9.0,7.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,Peaceful Area
PRAKASHAM,22.0,91.0,87.0,0.0,3.0,2.0,53.0,0.0,0.0,5.0,389,Peaceful Area
PUDUCHERRY,2.0,16.0,52.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,94,Peaceful Area
PUDUKOTTAI,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,Peaceful Area
PULWAMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
PUNE RLY.,1.0,7.0,8.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,65,Peaceful Area
