DISTRICT,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Total,Area type
INDORE,138.0,204.0,69.0,4.0,3.0,22.0,1.0,0.0,13.0,2.0,4401,Sensitive Area
JABALPUR,31.0,307.0,73.0,21.0,2.0,9.0,1.0,0.0,0.0,0.0,1203,Sensitive Area
JAGDALPUR,38.0,223.0,47.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,542,Sensitive Area
JAIPUR RURAL,21.0,92.0,191.0,3.0,0.0,119.0,0.0,0.0,0.0,1.0,432,Sensitive Area
JALGAON,82.0,106.0,90.0,4.0,1.0,161.0,2.0,2.0,0.0,5.0,521,Sensitive Area
JALNA,63.0,49.0,80.0,6.0,0.0,71.0,0.0,0.0,0.0,1.0,338,Sensitive Area
JANJGIR,34.0,191.0,81.0,7.0,1.0,16.0,0.0,0.0,0.0,1.0,955,Sensitive Area
JUNAGADH,61.0,36.0,266.0,2.0,0.0,94.0,0.0,0.0,0.0,9.0,612,Sensitive Area
KANPUR NAGAR,100.0,202.0,788.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1231,Sensitive Area
KARIMNAGAR,50.0,447.0,713.0,1.0,0.0,28.0,46.0,0.0,6.0,14.0,2406,Sensitive Area
KARNAL,32.0,313.0,192.0,6.0,1.0,43.0,0.0,1.0,1.0,12.0,732,Sensitive Area
KATNI,40.0,190.0,25.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,835,Sensitive Area
KHAMMAM,35.0,263.0,285.0,0.0,7.0,7.0,1.0,0.0,3.0,3.0,759,Sensitive Area
KHANDWA,72.0,443.0,137.0,1.0,4.0,58.0,0.0,0.0,0.0,2.0,1796,Sensitive Area
KOLHAPUR,92.0,111.0,112.0,2.0,0.0,20.0,4.0,0.0,0.0,15.0,602,Sensitive Area
KRISHNA,33.0,260.0,228.0,1.0,3.0,9.0,7.0,0.0,1.0,4.0,879,Sensitive Area
KURNOOL,11.0,173.0,304.0,0.0,5.0,20.0,2.0,0.0,0.0,8.0,527,Sensitive Area
