DISTRICT,Murder,Rape,Kidnapping Abduction,Dacoity,Robbery,Arson,Hurt,Protection of Civil Rights (PCR) Act,Prevention of atrocities (POA) Act,Other Crimes Against STs,Area
SAMBALPUR,4,11,7,0,2,0,65,0,167,62,Sensitive Area
SARGUJA,7,115,7,0,1,0,22,0,193,315,Sensitive Area
SATNA,20,76,3,0,4,11,80,0,0,343,Sensitive Area
SAWAI MADHOPUR,5,4,0,0,0,0,9,0,41,435,Sensitive Area
SEONI,17,104,6,0,0,0,88,0,243,346,Sensitive Area
SHAHDOL,17,122,13,0,2,5,71,0,1,272,Sensitive Area
SHEOPUR,6,30,4,0,0,0,57,0,44,139,Sensitive Area
SHIVPURI,15,93,4,0,0,13,30,1,0,300,Sensitive Area
SIDHI,15,87,18,0,0,3,15,0,207,181,Sensitive Area
SIHORE,5,59,3,0,0,0,46,0,0,134,Sensitive Area
SIKAR,5,4,2,0,0,8,15,0,10,335,Sensitive Area
SIROHI,8,12,1,0,2,4,146,0,56,105,Sensitive Area
SONITPUR,14,18,24,9,19,0,41,1,0,50,Sensitive Area
SURAJPUR,8,59,2,0,0,2,52,0,3,84,Sensitive Area
SURAT RURAL,12,20,8,1,2,2,97,0,53,68,Sensitive Area
THANE RURAL,9,36,14,2,2,3,23,0,128,202,Sensitive Area
TONK,3,9,8,0,1,4,243,0,213,283,Sensitive Area
UDAIPUR,5,42,5,0,1,3,55,0,82,446,Sensitive Area
UMARIYA,11,43,0,0,0,4,60,0,50,142,Sensitive Area
VADODARA RURAL,15,23,14,0,0,1,42,0,54,92,Sensitive Area
VIDISHA,5,58,1,0,0,6,33,0,0,123,Sensitive Area
WARANGAL,6,53,0,0,0,0,102,0,272,259,Sensitive Area
WAYANADU,3,89,2,0,1,0,99,0,16,104,Sensitive Area
YAVATMAL,12,64,12,0,0,1,16,0,26,163,Sensitive Area
