DISTRICT,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Total,Area type
24 PARGANAS NORTH,65.0,289.0,598.0,1.0,0.0,1.0,240.0,3.0,220.0,14.0,1435,Moderate Area
DHUBRI,7.0,185.0,15.0,0.0,0.0,0.0,340.0,0.0,4.0,5.0,562,Moderate Area
JALPAIGURI,7.0,1.0,47.0,0.0,1.0,1.0,266.0,0.0,15.0,6.0,364,Moderate Area
KOLKATA,24.0,205.0,696.0,0.0,2.0,0.0,152.0,43.0,62.0,0.0,1730,Moderate Area
MURSHIDABAD,26.0,200.0,462.0,0.0,0.0,0.0,81.0,0.0,103.0,28.0,923,Moderate Area
NELLORE,22.0,108.0,141.0,1.0,6.0,25.0,200.0,0.0,3.0,2.0,1220,Moderate Area
PUNE COMMR.,107.0,517.0,449.0,3.0,1.0,131.0,0.0,182.0,0.0,8.0,3391,Moderate Area
UTTAR DINAJPUR,6.0,61.0,100.0,0.0,0.0,1.0,150.0,0.0,64.0,8.0,392,Moderate Area
