DISTRICT,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Area type
SIDHARTHNAGAR,103,323,149,198,175,301,0,Peaceful Area
SILIGURI G.R.P.,2,23,3,31,1,1,0,Peaceful Area
SILIGURI_PC,21,111,3,35,12,370,0,Peaceful Area
SIMDEGA,256,109,7,33,4,44,1,Peaceful Area
SINDHUDURG,98,42,10,198,120,105,0,Peaceful Area
SINGRAULI,206,107,79,474,12,306,0,Peaceful Area
SIPAHIJALA,23,24,3,42,1,155,0,Peaceful Area
SIRMAUR,128,128,6,329,27,259,0,Peaceful Area
SIROHI,233,401,63,638,4,1431,0,Peaceful Area
SIRSA,277,225,101,216,1,1453,0,Peaceful Area
SIVAGANGAI,61,266,44,196,109,471,0,Peaceful Area
SOLAN,137,129,7,237,14,261,0,Peaceful Area
SOLAPUR COMMR.,229,123,22,222,69,776,0,Peaceful Area
SONBHADRA,165,161,149,180,185,190,0,Peaceful Area
SONEPUR,127,45,23,518,25,111,5,Peaceful Area
SOPORE,20,106,0,172,31,14,0,Peaceful Area
SOUTH GOA,181,87,8,144,52,99,0,Peaceful Area
SOUTH WEST,246,334,70,242,65,289,0,Peaceful Area
SPL CELL,0,0,0,0,0,0,0,Peaceful Area
SRP(CUTTACK),8,19,1,73,7,10,0,Peaceful Area
SRP(ROURKELA),15,20,3,65,3,13,0,Peaceful Area
ST.RAVIDASNAGAR,22,69,112,49,58,221,0,Peaceful Area
STF,0,0,0,0,0,0,0,Peaceful Area
SUBANSIRI LOWER,16,27,0,46,0,2,0,Peaceful Area
SUBANSIRI UPPER,26,32,0,65,0,14,0,Peaceful Area
SUKMA,1,5,0,2,0,2,0,Peaceful Area
SUNDARGARH,356,172,45,732,81,168,0,Peaceful Area
SUPAUL,347,299,134,214,0,319,9,Peaceful Area
SURAJPUR,544,73,24,553,18,355,0,Peaceful Area
SURAT RURAL,123,165,10,119,5,642,0,Peaceful Area
SURENDRANAGAR,206,386,13,484,30,1183,0,Peaceful Area
TAMENGLONG,2,1,0,1,0,0,0,Peaceful Area
TAPI,20,12,0,21,0,56,0,Peaceful Area
TARN TARAN,221,148,57,169,1,231,0,Peaceful Area
TAWANG,5,1,0,31,2,3,0,Peaceful Area
TEHRI GARHWAL,44,61,39,43,10,77,0,Peaceful Area
THANJAVUR,101,441,49,931,93,291,0,Peaceful Area
THENI,117,373,54,542,164,534,0,Peaceful Area
THIRUNELVELI URBAN,64,113,16,91,204,131,0,Peaceful Area
THIRUVALLUR,159,192,87,511,117,268,0,Peaceful Area
THIRUVANNAMALAI,209,401,39,286,180,284,0,Peaceful Area
THIRUVARUR,81,192,33,506,106,132,0,Peaceful Area
THOOTHUGUDI,248,271,34,340,953,586,0,Peaceful Area
THOUBAL,113,267,0,72,2,97,0,Peaceful Area
THRISSUR COMMR.,63,19,0,211,60,277,0,Peaceful Area
THRISSUR RURAL,115,21,3,481,64,810,0,Peaceful Area
TIRAP,14,19,1,36,0,3,0,Peaceful Area
TIRUPATHI URBAN,32,30,16,99,43,293,0,Peaceful Area
TIRUPPUR,39,167,25,164,8,257,0,Peaceful Area
TONK,213,640,49,412,22,2764,3,Peaceful Area
TRICHY RLY.,1,1,1,13,7,4,0,Peaceful Area
TRICHY RURAL,133,306,63,251,31,324,1,Peaceful Area
TRICHY URBAN,44,127,41,120,730,331,0,Peaceful Area
TRIVANDRUM,113,45,8,749,18,524,0,Peaceful Area
TRIVANDRUM COMMR.,260,131,9,1684,205,1177,0,Peaceful Area
TUENSANG,10,0,0,3,0,0,0,Peaceful Area
TUMKUR,208,108,176,1090,2,803,0,Peaceful Area
UDALGURI,219,245,23,186,0,266,0,Peaceful Area
UDHAMPUR,168,134,10,190,153,82,0,Peaceful Area
UDHAMSINGH NAGAR,235,559,174,319,60,853,0,Peaceful Area
UDUPI,75,26,11,305,12,295,0,Peaceful Area
UKHRUL,5,5,0,2,0,1,0,Peaceful Area
UMARIYA,308,17,42,759,55,270,0,Peaceful Area
UNA,100,87,3,156,44,319,0,Peaceful Area
UNAKOTI,26,9,2,26,2,92,0,Peaceful Area
UPPER DIBANG VALLEY,0,1,0,1,0,0,0,Peaceful Area
UTTAR KANNADA,73,58,17,632,48,625,0,Peaceful Area
UTTARKASHI,62,54,10,58,20,75,0,Peaceful Area
VADODARA COMMR.,81,419,1,169,51,2239,0,Peaceful Area
VADODARA RURAL,200,555,0,309,1,874,0,Peaceful Area
VALSAD,92,154,1,104,0,359,0,Peaceful Area
VELLORE,274,480,98,461,124,484,0,Peaceful Area
VIJAYAWADA,134,228,36,569,757,3571,0,Peaceful Area
VIJAYAWADA RLY.,4,5,4,35,15,10,0,Peaceful Area
VILUPPURAM,49,49,9,50,5,59,0,Peaceful Area
VIRUDHUNAGAR,204,418,30,498,851,662,0,Peaceful Area
VISAKHA RURAL,228,140,72,793,502,1739,0,Peaceful Area
W.RLY,16,24,1,64,16,34,0,Peaceful Area
W.RLY AHMEDABAD,1,3,0,8,0,2,0,Peaceful Area
W.RLY VADODARA,0,3,0,3,0,1,0,Peaceful Area
WARANGAL URBAN,82,82,47,199,153,742,0,Peaceful Area
WASHIM,217,180,91,765,146,1454,0,Peaceful Area
WAYANADU,394,40,17,742,106,1149,0,Peaceful Area
WOKHA,13,8,0,2,1,0,0,Peaceful Area
YADGIRI,23,20,5,231,12,175,0,Peaceful Area
YAMUNANAGAR,277,347,93,216,54,1377,0,Peaceful Area
ZUNHEBOTO,18,6,0,0,0,0,0,Peaceful Area
